page,model,thinking,mode,rows,zoom_rounds,elapsed_s,input_tok,cached_tok,output_tok,thought_tok,total_tok,cost_usd
5,gemini-3-flash-preview,low,v6 (processed + raw),34,1,59.03,5470,1199,8434,,19372,0.027497
3,gemini-3-flash-preview,low,v6 (processed + raw),34,1,47.37,5470,,6745,,17683,0.02297
4,gemini-3-flash-preview,low,v6 (processed + raw),34,1,52.7,5470,,8272,,19210,0.027551
9,gemini-3-flash-preview,low,v6 (processed + raw),21,9,62.77,5468,3121,5873,,60535,0.018949
6,gemini-3-flash-preview,low,v6 (processed + raw),32,3,61.37,5470,2751,8303,,30177,0.026406
10,gemini-3-flash-preview,low,v6 (processed + raw),22,1,37.66,5459,1357,4137,,15053,0.01453
3,gemini-3-flash-preview,low,v5-mode (raw disabled),34,1,48.04,4382,,8158,,16920,0.026665
