page	n_rows	rows_added_top	head_gap	width_dev	wide_ok	col_source	col_score	ink_cross	candidates
22	29	0	0.017	True	0.38	cache-7px	0.963	0.0147	"[[""cache-7px"", 19, 0.963, 0.0147, 0.017, true], [""detected-7px"", 19, 0.963, 0.0147, 0.017, true], [""enh-detected-10px"", 19, 0.869, 0.0108, 0.223, true], [""template-8px"", 19, 0.675, 0.0128, 0.222, true]]"
23	33	0	0.03	True	0.79	cache-10px	0.963	0.0083	"[[""cache-10px"", 19, 0.963, 0.0083, 0.03, true], [""detected-10px"", 19, 0.963, 0.0083, 0.03, true], [""enh-detected-10px"", 18, 0.836, 0.0114, 9.9, false], [""template-91px"", 19, 0.694, 0.0142, 0.262, true]]"
24	34	1	0.022	True	-0.05	cache-10px	0.963	0.0095	"[[""cache-10px"", 19, 0.963, 0.0095, 0.022, true], [""detected-10px"", 19, 0.963, 0.0095, 0.022, true], [""enh-detected-10px"", 19, 0.906, 0.0049, 0.171, true], [""template+6px"", 19, 0.575, 0.0103, 0.214, true]]"
25	35	1	0.032	True	0.72	cache-10px	0.975	0.0024	"[[""cache-10px"", 19, 0.975, 0.0024, 0.032, true], [""detected-10px"", 19, 0.975, 0.0024, 0.032, true], [""enh-detected-10px"", 19, 0.869, 0.0046, 0.187, true], [""template+92px"", 19, 0.631, 0.0074, 0.325, true]]"
26	30	0	0.028	True	0.77	cache-10px	0.981	0.0449	"[[""cache-10px"", 19, 0.981, 0.0449, 0.028, true], [""detected-10px"", 19, 0.981, 0.0449, 0.028, true], [""enh-detected-10px"", 19, 0.981, 0.0449, 0.027, true], [""template+7px"", 19, 0.594, 0.0244, 0.224, true]]"
27	28	0	0.018	True	0.35	cache-10px	0.969	0.0712	"[[""cache-10px"", 19, 0.969, 0.0712, 0.018, true], [""detected-10px"", 19, 0.969, 0.0712, 0.018, true], [""enh-detected-10px"", 19, 0.969, 0.0712, 0.019, true], [""template+91px"", 19, 0.725, 0.0581, 0.21, true]]"
28	33	2	0.019	True	0.23	cache-10px	0.969	0.0516	"[[""cache-10px"", 19, 0.969, 0.0516, 0.019, true], [""detected-10px"", 19, 0.969, 0.0516, 0.019, true], [""enh-detected-10px"", 19, 0.931, 0.0473, 0.054, true], [""template-6px"", 19, 0.644, 0.0357, 0.197, true]]"
29	34	3	0.015	True	0.63	cache-10px	0.975	0.0853	"[[""cache-10px"", 19, 0.975, 0.0853, 0.015, true], [""detected-10px"", 19, 0.975, 0.0853, 0.015, true], [""enh-detected-10px"", 19, 0.95, 0.0853, 0.251, false], [""template-88px"", 19, 0.556, 0.0465, 0.179, true]]"
30	35	0	0.024	True	0.37	cache-10px	0.969	0.0434	"[[""cache-10px"", 19, 0.969, 0.0434, 0.024, true], [""detected-10px"", 19, 0.969, 0.0434, 0.024, true], [""enh-detected-10px"", 19, 0.906, 0.0414, 0.191, true], [""template-9px"", 19, 0.631, 0.0431, 0.221, true]]"
31	35	0	0.039	True	0.49	cache-10px	0.969	0.0523	"[[""cache-10px"", 19, 0.969, 0.0523, 0.039, true], [""detected-10px"", 19, 0.969, 0.0523, 0.039, true], [""enh-detected-3px"", 19, 0.956, 0.0546, 0.206, true], [""template+88px"", 19, 0.694, 0.0382, 0.265, true]]"
32	29	0	0.029	True	0.51	cache-10px	0.95	0.0099	"[[""cache-10px"", 19, 0.95, 0.0099, 0.029, true], [""detected-10px"", 19, 0.95, 0.0099, 0.029, true], [""enh-detected-10px"", 19, 0.944, 0.0099, 0.033, true], [""template-10px"", 19, 0.731, 0.0112, 0.235, true]]"
12	34	0	0.022	True	0.74	detected-10px	0.95	0.0434	"[[""cache-10px"", 19, 0.444, 0.0369, 0.059, true], [""cache-scaled+4px"", 19, 0.875, 0.0321, 0.057, true], [""detected-10px"", 19, 0.95, 0.0434, 0.022, true], [""enh-detected-10px"", 19, 0.919, 0.0434, 0.21, true], [""template"", 19, 0.706, 0.024, 0.286, true]]"
16	35	0	0.024	True	0.64	cache-10px	0.969	0.0279	"[[""cache-10px"", 19, 0.969, 0.0279, 0.024, true], [""detected-10px"", 19, 0.969, 0.0279, 0.024, true], [""enh-detected-10px"", 19, 0.95, 0.0283, 0.208, true], [""template+88px"", 19, 0.706, 0.0189, 0.216, true]]"
17	35	0	0.311	True	0.26	template-10px	0.706	0.0071	"[[""cache-10px"", 19, 0.969, 0.0304, 0.422, false], [""detected-10px"", 19, 0.969, 0.0304, 0.422, false], [""enh-detected-10px"", 19, 0.931, 0.0306, 0.429, false], [""template-10px"", 19, 0.706, 0.0071, 0.311, true]]"
18	35	3	0.037	True	0.22	cache-6px	0.95	0.1194	"[[""cache-6px"", 19, 0.95, 0.1194, 0.037, true], [""detected-6px"", 19, 0.95, 0.1194, 0.037, true], [""enh-detected+2px"", 18, 0.737, 0.1012, 9.9, false], [""template-1px"", 19, 0.594, 0.0734, 0.294, true]]"
20	34	0	0.065	True	0.4	cache+4px	0.894	0.0134	"[[""cache+4px"", 19, 0.894, 0.0134, 0.065, true], [""detected+4px"", 19, 0.894, 0.0134, 0.065, true], [""enh-detected-10px"", 18, 0.737, 0.0094, 9.9, false], [""template-99px"", 19, 0.856, 0.0152, 0.191, true]]"
17	35	0	0.26	0.043	True	template-10px	0.975	0.0304	2619	2467	18	2528	"[[""cache-10px"", 19, 0.975, 0.0303, 0.422, false], [""cache-scaled-10px"", 19, 0.575, 0.0198, 0.421, false], [""detected-10px"", 19, 0.975, 0.0305, 0.426, false], [""enh-detected-8px"", 19, 0.956, 0.0305, 0.264, true], [""template-10px"", 19, 0.975, 0.0304, 0.043, true]]"
