page	pageNr	cells_with_text	flags	tsId
11	5	73	62	301482582
12	6	335	171	301482584
13	7	82	59	301482590
14	8	109	97	301482593
15	9	51	38	301482598
16	10	241	161	301482600
17	11	24	13	301482605
18	12	40	30	301482607
19	13	117	112	301482610
20	14	288	191	301482613
