page	cells	kept	dropped	dropped_with_text	already_none
1	266	78	188	0	0
3	646	376	270	0	0
4	646	400	246	0	0
5	646	390	256	0	0
6	665	359	306	0	0
9	646	175	471	0	0
10	646	249	397	0	0
11	646	194	452	0	0
12	665	410	255	0	0
13	646	264	382	0	0
14	665	244	421	0	0
15	646	231	415	0	0
16	665	346	319	0	0
17	646	183	463	0	0
18	646	374	272	0	0
19	665	291	374	0	0
20	665	402	263	0	0
21	665	172	493	0	0
22	646	239	407	0	0
23	684	379	305	0	0
24	665	132	533	0	0
25	646	155	491	0	0
26	665	313	352	0	0
27	665	331	334	0	0
28	646	304	342	0	0
29	646	332	314	0	0
30	646	381	265	0	0
31	665	438	227	0	0
32	665	256	409	0	0
33	665	213	452	0	0
34	665	154	511	0	0
35	665	283	382	0	0
36	665	156	509	0	0
37	646	149	497	0	0
38	646	155	491	0	0
39	646	274	372	0	0
40	646	204	442	0	0
41	646	204	442	0	0
42	646	162	484	0	0
43	665	177	488	0	0
44	665	160	505	0	0
45	684	238	446	0	0
46	665	189	476	0	0
47	665	236	429	0	0
48	665	174	491	0	0
49	665	193	472	0	0
50	665	331	334	0	0
51	646	233	413	0	0
52	665	188	477	0	0
53	646	297	349	0	0
54	646	197	449	0	0
55	646	230	416	0	0
56	627	195	432	0	0
57	646	239	407	0	0
58	646	412	234	0	0
59	627	218	409	0	0
60	665	329	336	0	0
61	665	244	421	0	0
62	665	416	249	0	0
63	646	232	414	0	0
64	646	238	408	0	0
65	646	134	512	0	0
66	646	318	328	0	0
67	646	337	309	0	0
68	646	358	288	0	0
69	646	259	387	0	0
70	627	79	548	0	0
71	665	333	332	0	0
72	665	251	414	0	0
73	646	228	418	0	0
74	646	134	512	0	0
75	646	265	381	0	0
76	646	128	518	0	0
77	665	195	470	0	0
78	646	185	461	0	0
79	646	156	490	0	0
80	646	130	516	0	0
81	646	206	440	0	0
82	646	151	495	0	0
83	646	192	454	0	0
84	646	163	483	0	0
85	646	146	500	0	0
86	646	127	519	0	0
87	646	377	269	0	0
88	646	317	329	0	0
89	646	183	463	0	0
90	646	150	496	0	0
91	646	178	468	0	0
92	646	208	438	0	0
93	665	203	462	0	0
94	646	190	456	0	0
95	646	209	437	0	0
96	646	154	492	0	0
97	646	155	491	0	0
98	646	160	486	0	0
99	646	340	306	0	0
100	646	421	225	0	0
101	665	343	322	0	0
