page	pageNr	rows	cols	cells	cleared_text_cells	tsId
11	5	28	19	532	0	298437697
12	6	34	19	646	0	298437700
13	7	35	19	665	0	298437702
14	8	27	19	513	0	298437703
15	9	31	19	589	0	298437705
16	10	35	19	665	0	298437706
17	11	35	19	665	0	298437709
18	12	32	19	608	0	298437712
19	13	34	19	646	0	298437713
20	14	34	19	646	0	298437716
1	96	4	9	36	0	298437750
3	97	34	19	646	348	298437751
4	1	35	19	665	383	298437754
5	2	35	19	665	226	298437755
6	3	35	19	665	0	298437760
9	4	35	19	665	0	298437762
10	102	27	19	513	0	298437763
21	15	29	18	522	0	298437764
22	16	29	19	551	0	298437766
23	17	33	19	627	0	298437767
24	18	33	19	627	0	298437772
25	19	34	19	646	0	298437777
26	20	30	19	570	0	298437780
27	21	28	19	532	0	298437781
28	22	31	19	589	0	298437784
29	23	31	19	589	0	298437785
30	24	35	19	665	0	298437787
31	25	35	19	665	0	298437792
32	26	29	19	551	0	298437803
33	27	30	19	570	0	298437813
34	28	28	19	532	0	298437820
35	29	32	19	608	0	298437835
36	30	32	19	608	0	298437862
37	31	32	19	608	0	298437870
38	32	24	19	456	0	298437873
39	33	31	19	589	0	298437875
40	34	33	19	627	0	298437891
41	35	31	19	589	0	298437905
42	36	30	19	570	0	298437911
43	37	32	19	608	0	298437915
44	38	34	19	646	0	298437922
45	39	32	19	608	0	298437933
46	40	34	19	646	0	298437942
47	41	25	19	475	0	298437952
48	42	24	19	456	0	298437960
49	43	30	19	570	0	298437967
50	44	34	19	646	0	298437977
51	45	32	19	608	0	298437982
52	46	29	19	551	0	298437989
53	47	33	19	627	0	298437996
54	48	26	19	494	0	298437997
55	49	34	19	646	0	298437998
56	50	30	19	570	0	298438003
57	51	36	19	684	0	298438005
58	52	35	19	665	0	298438011
59	53	30	19	570	0	298438013
60	54	34	19	646	0	298438015
61	55	29	19	551	0	298438018
62	56	35	19	665	0	298438019
63	57	31	19	589	0	298438021
64	58	28	19	532	0	298438042
65	59	32	19	608	0	298438045
66	60	33	19	627	0	298438047
67	61	35	19	665	0	298438051
68	62	33	19	627	0	298438059
69	63	23	19	437	0	298438060
70	64	35	19	665	0	298438072
71	65	33	19	627	0	298438076
72	66	27	19	513	0	298438080
73	67	34	19	646	0	298438087
74	68	33	19	627	0	298438096
75	69	30	15	450	0	298438104
76	70	30	19	570	0	298438117
77	71	34	19	646	0	298438126
78	72	30	19	570	0	298438135
79	73	28	19	532	0	298438142
80	74	31	19	589	0	298438156
81	75	33	19	627	0	298438164
82	76	30	19	570	0	298438182
83	77	31	19	589	0	298438189
84	78	32	19	608	0	298438195
85	79	32	19	608	0	298438206
86	80	30	19	570	0	298438221
87	81	35	19	665	0	298438241
88	82	32	19	608	0	298438257
89	83	31	19	589	0	298438275
90	84	35	19	665	0	298438285
91	85	31	19	589	0	298438293
92	86	34	19	646	0	298438305
93	87	34	19	646	0	298438330
94	88	32	19	608	0	298438333
95	89	27	19	513	0	298438335
96	90	28	19	532	0	298438337
97	91	31	19	589	0	298438339
98	92	29	19	551	0	298438341
99	93	35	19	665	0	298438344
100	94	34	19	646	0	298438350
101	95	35	19	665	0	298438353
