page	n_rows	synthetic_rows	pitch	data_h	top_gap_pitch	bot_gap_pitch	top_overflow_px	bottom_overflow_px	smear_top_px	smear_bottom_px	ink_above	ink_below	rows_lost_bottom	rows_squeezed_top	flags
1	4	0	298.0	1406	0.168	1.211	99.0	-212.0	60	0	0.0	0.002	0	0	BOTTOM_CUT,TOP_CLIP,TOP_EXTRAP,TOP_SMEAR
3	34	0	93.0	3365	1.065	1.613	-52.5	-103.5	0	131	0.0	0.0	0	0	BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
4	35	0	94.0	3373	0.426	1.979	7.0	-139.0	0	0	0.0	0.173	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_EXTRAP
5	35	3	92.0	3362	0.337	2.609	15.0	-194.0	0	0	0.0	0.295	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_EXTRAP
6	34	9	91.0	3370	1.121	2.308	-56.5	-164.5	0	3	0.078	1.281	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
9	35	7	92.0	3315	1.207	1.12	-65.0	-57.0	0	0	0.0	0.117	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
10	27	7	93.5	3317	0.909	8.642	-38.2	-761.2	0	0	0.0	0.012	0	0	BOTTOM_CUT,TOP_SQUEEZE
11	28	5	98.0	3305	0.959	1.612	-45.0	-109.0	0	0	0.0	0.093	0	0	BOTTOM_CUT,TOP_SQUEEZE
12	34	1	93.0	3365	1.237	1.183	-68.5	-63.5	0	60	0.006	0.029	0	0	BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
13	35	7	94.0	3356	1.043	1.021	-51.0	-49.0	0	299	0.249	0.0	0	0	BOTTOM_CUT,TOP_SQUEEZE,BOTTOM_SMEAR
14	27	10	93.5	3348	0.759	8.824	-24.2	-778.2	0	0	0.344	0.029	0	0	BOTTOM_CUT,TOP_SQUEEZE
15	31	6	95.0	3139	0.747	1.126	-23.5	-59.5	0	299	14.133	1.133	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,BOTTOM_SMEAR
16	34	11	91.0	3352	1.143	2.747	-58.5	-204.5	0	0	0.0	0.64	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT,TOP_SQUEEZE
17	35	2	94.0	3358	0.755	1.213	-24.0	-67.0	0	0	0.0	0.0	0	0	BOTTOM_CUT,TOP_SQUEEZE
18	32	5	93.0	3055	0.742	1.226	-22.5	-67.5	0	0	1.27	0.306	1	0	LOST_1_BOTTOM_ROW,BOTTOM_CUT
19	32	10	93.0	3349	0.892	3.043	-36.5	-236.5	0	0	0.005	1.154	2	0	LOST_2_BOTTOM_ROWS,BOTTOM_CUT,TOP_SQUEEZE
20	34	2	94.0	3339	0.904	1.755	-38.0	-118.0	0	0	0.0	0.122	0	0	PARTIAL_BOTTOM_INK,BOTTOM_CUT,TOP_SQUEEZE
