page	line_id	kind	old_592509	new_592709
11	line_cell_r11_c17	agree_nonempty	–	–
11	line_cell_r11_c18	both_nonempty_differ	٠٧٢	٠٣٠
11	line_cell_r11_c2	both_nonempty_differ	"	١
11	line_cell_r11_c3	both_nonempty_differ	"	..
11	line_cell_r11_c4	agree_nonempty	١	١
11	line_cell_r11_c5	both_nonempty_differ	٠	١
11	line_cell_r11_c6	agree_nonempty	"	"
11	line_cell_r11_c7	agree_nonempty	١	١
11	line_cell_r11_c8	agree_nonempty	١٦	١٦
11	line_cell_r11_c9	agree_nonempty	٠	٠
11	line_cell_r12_c0	agree_nonempty	"	"
11	line_cell_r12_c1	both_nonempty_differ	٤/	٩
11	line_cell_r12_c10	old_empty_new_nonempty		✓
11	line_cell_r12_c11	agree_nonempty	١	١
11	line_cell_r12_c12	both_nonempty_differ	١٦	✓
11	line_cell_r12_c13	agree_nonempty	٠٢٤	٠٢٤
11	line_cell_r12_c14	both_nonempty_differ	٧	✓
11	line_cell_r12_c15	agree_nonempty	٠	٠
11	line_cell_r12_c16	old_empty_new_nonempty		٤
11	line_cell_r12_c17	both_nonempty_differ	"	✓
11	line_cell_r12_c18	agree_nonempty	٠٢٤	٠٢٤
11	line_cell_r12_c2	agree_nonempty	"	"
11	line_cell_r12_c3	agree_nonempty	"	"
11	line_cell_r12_c4	both_nonempty_differ	١	١٦
11	line_cell_r12_c5	agree_nonempty	١	١
11	line_cell_r12_c6	both_nonempty_differ	٨	"
11	line_cell_r12_c7	agree_nonempty	✓	✓
11	line_cell_r12_c8	both_nonempty_differ	١٣	١
11	line_cell_r12_c9	agree_nonempty	٣	٣
11	line_cell_r13_c0	both_nonempty_differ	״	_
11	line_cell_r13_c1	agree_nonempty	"	"
11	line_cell_r13_c10	agree_nonempty	✓	✓
11	line_cell_r13_c11	both_nonempty_differ	_	..
11	line_cell_r13_c12	agree_nonempty	✓	✓
11	line_cell_r13_c13	both_nonempty_differ	✓	-
11	line_cell_r13_c14	agree_nonempty	✓	✓
11	line_cell_r13_c15	both_nonempty_differ	٩٤	.
11	line_cell_r13_c16	both_nonempty_differ	-	٤
11	line_cell_r13_c17	agree_nonempty	✓	✓
11	line_cell_r13_c18	both_nonempty_differ	٠٧٢	٠٠٠
11	line_cell_r13_c2	agree_nonempty	✓	✓
11	line_cell_r13_c3	agree_nonempty	٣	٣
11	line_cell_r13_c4	both_nonempty_differ	"	..
11	line_cell_r13_c5	both_nonempty_differ	"	..
11	line_cell_r13_c6	both_nonempty_differ	٠	"
11	line_cell_r13_c7	both_nonempty_differ	"	١
11	line_cell_r13_c8	old_empty_new_nonempty		✓
11	line_cell_r13_c9	both_nonempty_differ	٣	..
11	line_cell_r14_c0	both_nonempty_differ	..	٠
11	line_cell_r14_c1	both_nonempty_differ	"	..
11	line_cell_r14_c10	both_nonempty_differ	٦	١
11	line_cell_r14_c11	agree_nonempty	٠	٠
11	line_cell_r14_c12	both_nonempty_differ	"	_
11	line_cell_r14_c13	agree_nonempty	..	..
11	line_cell_r14_c14	agree_nonempty	✓	✓
11	line_cell_r14_c15	both_nonempty_differ	٩٤	٠
11	line_cell_r14_c16	both_nonempty_differ	٩٤	..
11	line_cell_r14_c17	agree_nonempty	١	١
11	line_cell_r14_c18	agree_nonempty	٠٩٦	٠٩٦
11	line_cell_r14_c2	agree_nonempty	"	"
11	line_cell_r14_c3	both_nonempty_differ	-	_
11	line_cell_r14_c4	both_nonempty_differ	"	١
11	line_cell_r14_c5	both_nonempty_differ	٣	..
11	line_cell_r14_c6	both_nonempty_differ	٣	١
11	line_cell_r14_c7	both_nonempty_differ	٨	١
11	line_cell_r14_c8	agree_nonempty	✓	✓
11	line_cell_r14_c9	agree_nonempty	٢٥	٢٥
11	line_cell_r15_c0	both_nonempty_differ	-	–
11	line_cell_r15_c1	both_nonempty_differ	٤, ٤٧	٤٧
11	line_cell_r15_c10	both_nonempty_differ	–	-
11	line_cell_r15_c11	both_nonempty_differ	١	"
11	line_cell_r15_c12	agree_nonempty	–	–
11	line_cell_r15_c13	both_nonempty_differ	–	٠
11	line_cell_r15_c14	agree_nonempty	–	–
11	line_cell_r15_c15	agree_nonempty	–	–
11	line_cell_r15_c16	agree_nonempty	–	–
11	line_cell_r15_c17	agree_nonempty	–	–
11	line_cell_r15_c18	both_nonempty_differ	"	–
11	line_cell_r15_c2	agree_nonempty	"	"
11	line_cell_r15_c3	agree_nonempty	..	..
11	line_cell_r15_c4	both_nonempty_differ	٢	"
11	line_cell_r15_c5	agree_nonempty	٠	٠
11	line_cell_r15_c6	both_nonempty_differ	"	١
11	line_cell_r15_c7	both_nonempty_differ	٩	٤
11	line_cell_r15_c8	both_nonempty_differ	"	١٣
11	line_cell_r15_c9	both_nonempty_differ	_	٠
11	line_cell_r1_c0	agree_nonempty	٣	٣
11	line_cell_r1_c1	agree_nonempty	١	١
11	line_cell_r1_c10	agree_nonempty	٥	٥
11	line_cell_r1_c11	both_nonempty_differ	٥	٠
11	line_cell_r1_c12	both_nonempty_differ	٧	✓
11	line_cell_r1_c13	agree_nonempty	_	_
11	line_cell_r1_c14	both_nonempty_differ	١٦	✓
11	line_cell_r1_c15	both_nonempty_differ	٤	.
11	line_cell_r1_c16	both_nonempty_differ	_	..
11	line_cell_r1_c17	both_nonempty_differ	–	✓
11	line_cell_r1_c18	both_nonempty_differ	..	٠
11	line_cell_r1_c2	both_nonempty_differ	٤١٤٣	٤١٣٣
11	line_cell_r1_c3	both_nonempty_differ	١٦	٠
11	line_cell_r1_c4	both_nonempty_differ	١٤٤	١٤
11	line_cell_r1_c5	both_nonempty_differ	٢٠,	٠٠٠
11	line_cell_r1_c6	agree_nonempty	✓	✓
11	line_cell_r1_c7	agree_nonempty	"	"
11	line_cell_r1_c8	agree_nonempty	✓	✓
11	line_cell_r1_c9	agree_nonempty	..	..
11	line_cell_r2_c0	agree_nonempty	٤	٤
11	line_cell_r2_c1	both_nonempty_differ	١	"
11	line_cell_r2_c10	agree_nonempty	–	–
11	line_cell_r2_c11	both_nonempty_differ	-	٠
11	line_cell_r2_c12	both_nonempty_differ	–	٠
11	line_cell_r2_c13	agree_nonempty	٠١٢	٠١٢
11	line_cell_r2_c14	both_nonempty_differ	_	.
11	line_cell_r2_c15	both_nonempty_differ	✓	٠
11	line_cell_r2_c16	agree_nonempty	_	_
11	line_cell_r2_c17	both_nonempty_differ	–	-
11	line_cell_r2_c18	both_nonempty_differ	نظ٩٠	٠
11	line_cell_r2_c2	both_nonempty_differ	"	✓
11	line_cell_r2_c3	both_nonempty_differ	٥٠	٣
11	line_cell_r2_c4	both_nonempty_differ	١	٠
11	line_cell_r2_c5	both_nonempty_differ	١,٨٧٠	١٠
11	line_cell_r2_c6	agree_nonempty	✓"	✓"
11	line_cell_r2_c7	agree_nonempty	١	١
11	line_cell_r2_c8	agree_nonempty	✓	✓
11	line_cell_r2_c9	both_nonempty_differ	١	٠
11	line_cell_r3_c0	both_nonempty_differ	١	✓
11	line_cell_r3_c1	both_nonempty_differ	٩٤	٩٤٠
11	line_cell_r3_c10	agree_nonempty	✓	✓
11	line_cell_r3_c11	both_nonempty_differ	٩	..
11	line_cell_r3_c12	both_nonempty_differ	١٦	١
11	line_cell_r3_c13	both_nonempty_differ	١٢	٠١٢
11	line_cell_r3_c14	agree_nonempty	✓	✓
11	line_cell_r3_c15	both_nonempty_differ	٤	٠
11	line_cell_r3_c16	both_nonempty_differ	–	٠
11	line_cell_r3_c17	agree_nonempty	–	–
11	line_cell_r3_c18	both_nonempty_differ	٠٠١٢	٠٠٠
11	line_cell_r3_c2	agree_nonempty	✓	✓
11	line_cell_r3_c3	agree_nonempty	٣	٣
11	line_cell_r3_c4	agree_nonempty	١	١
11	line_cell_r3_c5	both_nonempty_differ	٣	..
11	line_cell_r3_c6	both_nonempty_differ	٨	١
11	line_cell_r3_c7	both_nonempty_differ	"	١
11	line_cell_r3_c8	agree_nonempty	✓	✓
11	line_cell_r3_c9	both_nonempty_differ	٥	١
11	line_cell_r4_c0	both_nonempty_differ	١	✓
11	line_cell_r4_c1	agree_nonempty	٩٤١	٩٤١
11	line_cell_r4_c10	agree_nonempty	–	–
11	line_cell_r4_c11	both_nonempty_differ	✓	..
11	line_cell_r4_c12	agree_nonempty	✓	✓
11	line_cell_r4_c13	both_nonempty_differ	٠١٢	٠٣٢
11	line_cell_r4_c14	agree_nonempty	١٦	١٦
11	line_cell_r4_c15	both_nonempty_differ	٩٤٠	١٠
11	line_cell_r4_c16	agree_nonempty	..	..
11	line_cell_r4_c17	both_nonempty_differ	✓	١
11	line_cell_r4_c18	both_nonempty_differ	٠١٢	٠٣٢
11	line_cell_r4_c2	agree_nonempty	١	١
11	line_cell_r4_c3	both_nonempty_differ	بيع	٣
11	line_cell_r4_c4	both_nonempty_differ	–	✓
11	line_cell_r4_c5	agree_nonempty	١	١
11	line_cell_r4_c6	both_nonempty_differ	٨	١
11	line_cell_r4_c7	both_nonempty_differ	"	.
11	line_cell_r4_c8	agree_nonempty	١	١
11	line_cell_r4_c9	both_nonempty_differ	٢	..
11	line_cell_r5_c0	both_nonempty_differ	٤	١
11	line_cell_r5_c1	agree_nonempty	"	"
11	line_cell_r5_c10	agree_nonempty	✓	✓
11	line_cell_r5_c11	agree_nonempty	١	١
11	line_cell_r5_c12	both_nonempty_differ	_	–
11	line_cell_r5_c13	both_nonempty_differ	"	١
11	line_cell_r5_c14	agree_nonempty	–	–
11	line_cell_r5_c15	agree_nonempty	٠	٠
11	line_cell_r5_c16	both_nonempty_differ	_	–
11	line_cell_r5_c17	agree_nonempty	١	١
11	line_cell_r5_c18	both_nonempty_differ	٤	٠٦
11	line_cell_r5_c2	agree_nonempty	✓	✓
11	line_cell_r5_c3	agree_nonempty	٠	٠
11	line_cell_r5_c4	agree_nonempty	٥	٥
11	line_cell_r5_c5	both_nonempty_differ	٥	"
11	line_cell_r5_c6	both_nonempty_differ	٥	"
11	line_cell_r5_c7	agree_nonempty	✓	✓
11	line_cell_r5_c8	both_nonempty_differ	-	✓
11	line_cell_r5_c9	both_nonempty_differ	✓	..
11	line_cell_r6_c0	agree_nonempty	"	"
11	line_cell_r6_c1	both_nonempty_differ	١	"
11	line_cell_r6_c10	both_nonempty_differ	"	✓
11	line_cell_r6_c11	both_nonempty_differ	٥	"
11	line_cell_r6_c12	both_nonempty_differ	-	–
11	line_cell_r6_c13	agree_nonempty	–	–
11	line_cell_r6_c14	agree_nonempty	–	–
11	line_cell_r6_c15	agree_nonempty	–	–
11	line_cell_r6_c16	agree_nonempty	–	–
11	line_cell_r6_c17	both_nonempty_differ	–	-
11	line_cell_r6_c18	both_nonempty_differ	–	٠
11	line_cell_r6_c2	agree_nonempty	✓	✓
11	line_cell_r6_c3	both_nonempty_differ	٥	٣
11	line_cell_r6_c4	both_nonempty_differ	١٣	✓
11	line_cell_r6_c5	both_nonempty_differ	٠	٤
11	line_cell_r6_c6	both_nonempty_differ	٤	١
11	line_cell_r6_c7	both_nonempty_differ	✓	١
11	line_cell_r6_c8	both_nonempty_differ	١٦	١
11	line_cell_r6_c9	both_nonempty_differ	٥	"
11	line_cell_r7_c0	agree_nonempty	١	١
11	line_cell_r7_c1	both_nonempty_differ	٤ ٤	٤
11	line_cell_r7_c10	both_nonempty_differ	"	١
11	line_cell_r7_c11	agree_nonempty	٣	٣
11	line_cell_r7_c12	agree_nonempty	✓	✓
11	line_cell_r7_c13	agree_nonempty	٠٣٢	٠٣٢
11	line_cell_r7_c14	both_nonempty_differ	"	١
11	line_cell_r7_c15	both_nonempty_differ	-	–
11	line_cell_r7_c16	agree_nonempty	٣	٣
11	line_cell_r7_c17	agree_nonempty	✓	✓
11	line_cell_r7_c18	agree_nonempty	٠٣٢	٠٣٢
11	line_cell_r7_c2	both_nonempty_differ	✓	"
11	line_cell_r7_c3	both_nonempty_differ	٣	"
11	line_cell_r7_c4	agree_nonempty	✓	✓
11	line_cell_r7_c5	agree_nonempty	٣	٣
11	line_cell_r7_c6	agree_nonempty	٤	٤
11	line_cell_r7_c7	agree_nonempty	✓	✓
11	line_cell_r7_c8	both_nonempty_differ	١٦	١
11	line_cell_r7_c9	both_nonempty_differ	٣	..
11	line_cell_r8_c0	agree_nonempty	٤	٤
11	line_cell_r8_c1	both_nonempty_differ	٣	١٤
11	line_cell_r8_c10	agree_nonempty	١	١
11	line_cell_r8_c11	both_nonempty_differ	٩	٨
11	line_cell_r8_c12	both_nonempty_differ	"	✓
11	line_cell_r8_c13	both_nonempty_differ	٠	٠٤
11	line_cell_r8_c14	agree_nonempty	✓	✓
11	line_cell_r8_c15	agree_nonempty	٠	٠
11	line_cell_r8_c16	both_nonempty_differ	٤	-
11	line_cell_r8_c17	both_nonempty_differ	٣	-
11	line_cell_r8_c18	both_nonempty_differ	٤٤	٠٠٠
11	line_cell_r8_c2	agree_nonempty	١	١
11	line_cell_r8_c3	both_nonempty_differ	٠	١
11	line_cell_r8_c4	agree_nonempty	١٦	١٦
11	line_cell_r8_c5	both_nonempty_differ	٠,	٠
11	line_cell_r8_c6	both_nonempty_differ	٨	١
11	line_cell_r8_c7	both_nonempty_differ	"	١
11	line_cell_r8_c8	both_nonempty_differ	✓	..
11	line_cell_r8_c9	both_nonempty_differ	٣	"
11	line_cell_r9_c0	both_nonempty_differ	٤	١
11	line_cell_r9_c1	agree_nonempty	"	"
11	line_cell_r9_c10	both_nonempty_differ	١	..
11	line_cell_r9_c11	both_nonempty_differ	_	..
11	line_cell_r9_c12	both_nonempty_differ	٦	..
11	line_cell_r9_c13	agree_nonempty	٠	٠
11	line_cell_r9_c14	both_nonempty_differ	"	✓
11	line_cell_r9_c15	both_nonempty_differ	٠	.
11	line_cell_r9_c16	both_nonempty_differ	_	..
11	line_cell_r9_c17	agree_nonempty	–	–
11	line_cell_r9_c18	both_nonempty_differ	٠٥٢	٢
11	line_cell_r9_c2	both_nonempty_differ	"	..
11	line_cell_r9_c3	both_nonempty_differ	١	٢٧
11	line_cell_r9_c4	agree_nonempty	✓	✓
11	line_cell_r9_c5	agree_nonempty	٤	٤
11	line_cell_r9_c6	both_nonempty_differ	ضريبة حرب	T.D.L
11	line_cell_r9_c7	both_nonempty_differ	"	..
11	line_cell_r9_c8	agree_nonempty	"	"
11	line_cell_r9_c9	both_nonempty_differ	_	..
11	line_taxpayer_index	both_nonempty_differ	تسل	١
11	line_taxpayer_name	both_nonempty_differ	تس ال	ال
12	line_cell_r0_c0	agree_nonempty	٤	٤
12	line_cell_r0_c1	agree_nonempty	٩٣٨	٩٣٨
12	line_cell_r0_c10	both_nonempty_differ	✓	✓-
12	line_cell_r0_c11	agree_nonempty	-	-
12	line_cell_r0_c12	agree_nonempty	١٦	١٦
12	line_cell_r0_c13	both_nonempty_differ	١٦	١٠
12	line_cell_r0_c14	both_nonempty_differ	٣	✓
12	line_cell_r0_c15	both_nonempty_differ	_	..
12	line_cell_r0_c16	both_nonempty_differ	_	..
12	line_cell_r0_c17	both_nonempty_differ	١٦	١
12	line_cell_r0_c18	both_nonempty_differ	٠٥٦	٠٦٠
12	line_cell_r0_c2	both_nonempty_differ	٤١٣٩	٤١٤٦
12	line_cell_r0_c3	both_nonempty_differ	٥٥	٥
12	line_cell_r0_c4	both_nonempty_differ	١٣	١٢
12	line_cell_r0_c5	both_nonempty_differ	٠٣٦	٠,١٦
12	line_cell_r0_c6	agree_nonempty	تع	تع
12	line_cell_r0_c7	agree_nonempty	"	"
12	line_cell_r0_c8	agree_nonempty	✓	✓
12	line_cell_r0_c9	both_nonempty_differ	١٨	٠
12	line_cell_r10_c0	agree_nonempty	١	١
12	line_cell_r10_c1	agree_nonempty	"	"
12	line_cell_r10_c10	agree_nonempty	✓	✓
12	line_cell_r10_c11	agree_nonempty	٠٤١	٠٤١
12	line_cell_r10_c12	both_nonempty_differ	✓	١
12	line_cell_r10_c13	both_nonempty_differ	٣	..
12	line_cell_r10_c14	both_nonempty_differ	٧	✓
12	line_cell_r10_c15	both_nonempty_differ	٠	..
12	line_cell_r10_c16	agree_nonempty	٣	٣
12	line_cell_r10_c17	agree_nonempty	٥	٥
12	line_cell_r10_c18	agree_nonempty	٠	٠
12	line_cell_r10_c2	agree_nonempty	"	"
12	line_cell_r10_c3	agree_nonempty	٤١	٤١
12	line_cell_r10_c4	agree_nonempty	١٠	١٠
12	line_cell_r10_c5	both_nonempty_differ	٤,٢٦١	٢,٤١
12	line_cell_r10_c6	agree_nonempty	"	"
12	line_cell_r10_c7	agree_nonempty	"	"
12	line_cell_r10_c8	agree_nonempty	✓	✓
12	line_cell_r10_c9	agree_nonempty	٠٥٤	٠٥٤
12	line_cell_r11_c0	agree_nonempty	١٢	١٢
12	line_cell_r11_c1	agree_nonempty	"	"
12	line_cell_r11_c10	agree_nonempty	✓	✓
12	line_cell_r11_c11	agree_nonempty	٠٦٢	٠٦٢
12	line_cell_r11_c12	agree_nonempty	✓	✓
12	line_cell_r11_c13	agree_nonempty	_	_
12	line_cell_r11_c14	old_empty_new_nonempty		✓
12	line_cell_r11_c15	both_nonempty_differ	...	..
12	line_cell_r11_c16	both_nonempty_differ	٣	..
12	line_cell_r11_c17	both_nonempty_differ	✓	١
12	line_cell_r11_c18	both_nonempty_differ	ن	٠
12	line_cell_r11_c2	agree_nonempty	"	"
12	line_cell_r11_c3	agree_nonempty	٥	٥
12	line_cell_r11_c4	agree_nonempty	١٠	١٠
12	line_cell_r11_c5	both_nonempty_differ	٣،٤٦٢	٣،٢
12	line_cell_r11_c6	agree_nonempty	"	"
12	line_cell_r11_c7	both_nonempty_differ	"	١
12	line_cell_r11_c8	agree_nonempty	"	"
12	line_cell_r11_c9	both_nonempty_differ	٠٧٢	٠٣٢
12	line_cell_r12_c0	agree_nonempty	١٣	١٣
12	line_cell_r12_c1	agree_nonempty	"	"
12	line_cell_r12_c10	agree_nonempty	✓	✓
12	line_cell_r12_c11	both_nonempty_differ	٤	٣
12	line_cell_r12_c12	agree_nonempty	١٣	١٣
12	line_cell_r12_c13	agree_nonempty	_	_
12	line_cell_r12_c14	agree_nonempty	✓	✓
12	line_cell_r12_c15	agree_nonempty	..	..
12	line_cell_r12_c16	both_nonempty_differ	"	..
12	line_cell_r12_c17	both_nonempty_differ	"	١٦
12	line_cell_r12_c18	both_nonempty_differ	١٠	٠
12	line_cell_r12_c2	agree_nonempty	"	"
12	line_cell_r12_c3	agree_nonempty	٤	٤
12	line_cell_r12_c4	agree_nonempty	١٠	١٠
12	line_cell_r12_c5	both_nonempty_differ	٢,٠٢٩	٢,٩
12	line_cell_r12_c6	agree_nonempty	"	"
12	line_cell_r12_c7	agree_nonempty	١	١
12	line_cell_r12_c8	agree_nonempty	✓	✓
12	line_cell_r12_c9	agree_nonempty	٥٤	٥٤
12	line_cell_r13_c0	agree_nonempty	١٤	١٤
12	line_cell_r13_c1	agree_nonempty	"	"
12	line_cell_r13_c10	agree_nonempty	-	-
12	line_cell_r13_c11	agree_nonempty	-	-
12	line_cell_r13_c12	both_nonempty_differ	١	✓
12	line_cell_r13_c13	both_nonempty_differ	...	..
12	line_cell_r13_c14	both_nonempty_differ	٧	✓
12	line_cell_r13_c15	agree_nonempty	..	..
12	line_cell_r13_c16	both_nonempty_differ	٠	..
12	line_cell_r13_c17	agree_nonempty	١	١
12	line_cell_r13_c18	both_nonempty_differ	-	٠
12	line_cell_r13_c2	agree_nonempty	"	"
12	line_cell_r13_c3	agree_nonempty	٩٠	٩٠
12	line_cell_r13_c4	both_nonempty_differ	١٢	١٦
12	line_cell_r13_c5	agree_nonempty	٠	٠
12	line_cell_r13_c6	agree_nonempty	✓"	✓"
12	line_cell_r13_c7	agree_nonempty	"	"
12	line_cell_r13_c8	agree_nonempty	✓	✓
12	line_cell_r13_c9	both_nonempty_differ	٠٠٠	..
12	line_cell_r14_c0	agree_nonempty	١٥	١٥
12	line_cell_r14_c1	agree_nonempty	"	"
12	line_cell_r14_c10	agree_nonempty	-	-
12	line_cell_r14_c11	agree_nonempty	-	-
12	line_cell_r14_c12	both_nonempty_differ	"	١
12	line_cell_r14_c13	both_nonempty_differ	٠٠	٠
12	line_cell_r14_c14	both_nonempty_differ	١٦	١
12	line_cell_r14_c15	both_nonempty_differ	_	٠
12	line_cell_r14_c16	both_nonempty_differ	٣	..
12	line_cell_r14_c17	agree_nonempty	✓	✓
12	line_cell_r14_c18	both_nonempty_differ	_	٠
12	line_cell_r14_c2	agree_nonempty	١	١
12	line_cell_r14_c3	agree_nonempty	١٩	١٩
12	line_cell_r14_c4	agree_nonempty	١٤٤	١٤٤
12	line_cell_r14_c5	both_nonempty_differ	١,٥٣٢	١٢
12	line_cell_r14_c6	agree_nonempty	"	"
12	line_cell_r14_c7	both_nonempty_differ	٣٣	٣
12	line_cell_r14_c8	agree_nonempty	✓	✓
12	line_cell_r14_c9	both_nonempty_differ	..	٠٠٠
12	line_cell_r15_c0	agree_nonempty	٦	٦
12	line_cell_r15_c1	both_nonempty_differ	٣	١
12	line_cell_r15_c10	agree_nonempty	-	-
12	line_cell_r15_c11	agree_nonempty	-	-
12	line_cell_r15_c12	both_nonempty_differ	٤	✓
12	line_cell_r15_c13	both_nonempty_differ	٠	..
12	line_cell_r15_c14	old_empty_new_nonempty		✓
12	line_cell_r15_c15	agree_nonempty	٠	٠
12	line_cell_r15_c16	both_nonempty_differ	"	..
12	line_cell_r15_c17	agree_nonempty	✓	✓
12	line_cell_r15_c18	both_nonempty_differ	..	.
12	line_cell_r15_c2	agree_nonempty	✓	✓
12	line_cell_r15_c3	agree_nonempty	٣	٣
12	line_cell_r15_c4	agree_nonempty	١٦	١٦
12	line_cell_r15_c5	both_nonempty_differ	٢،٢٩٩	٢,٩
12	line_cell_r15_c6	both_nonempty_differ	٤	١
12	line_cell_r15_c7	both_nonempty_differ	"	١
12	line_cell_r15_c8	agree_nonempty	✓	✓
12	line_cell_r15_c9	both_nonempty_differ	...	..
12	line_cell_r16_c0	agree_nonempty	١٧	١٧
12	line_cell_r16_c1	agree_nonempty	"	"
12	line_cell_r16_c10	agree_nonempty	✓	✓
12	line_cell_r16_c11	both_nonempty_differ	٠٠٦	٠٦
12	line_cell_r16_c12	old_empty_new_nonempty		✓
12	line_cell_r16_c13	both_nonempty_differ	..	.
12	line_cell_r16_c14	both_nonempty_differ	-	✓
12	line_cell_r16_c15	both_nonempty_differ	.	٠
12	line_cell_r16_c16	agree_nonempty	"	"
12	line_cell_r16_c17	agree_nonempty	✓	✓
12	line_cell_r16_c18	both_nonempty_differ	٤	..
12	line_cell_r16_c2	both_nonempty_differ	١	"
12	line_cell_r16_c3	agree_nonempty	٢٦	٢٦
12	line_cell_r16_c4	agree_nonempty	١٣	١٣
12	line_cell_r16_c5	both_nonempty_differ	٦	"
12	line_cell_r16_c6	both_nonempty_differ	"	✓"
12	line_cell_r16_c7	both_nonempty_differ	١	٠
12	line_cell_r16_c8	agree_nonempty	٣	٣
12	line_cell_r16_c9	agree_nonempty	٠٠٨	٠٠٨
12	line_cell_r17_c0	both_nonempty_differ	١	T.D.L
12	line_cell_r17_c1	both_nonempty_differ	"	١
12	line_cell_r17_c10	agree_nonempty	-	-
12	line_cell_r17_c11	agree_nonempty	-	-
12	line_cell_r17_c12	both_nonempty_differ	"	_
12	line_cell_r17_c13	both_nonempty_differ	_	..
12	line_cell_r17_c14	agree_nonempty	✓	✓
12	line_cell_r17_c15	agree_nonempty	٤	٤
12	line_cell_r17_c16	agree_nonempty	"	"
12	line_cell_r17_c17	agree_nonempty	✓	✓
12	line_cell_r17_c18	both_nonempty_differ	٠	.
12	line_cell_r17_c2	agree_nonempty	"	"
12	line_cell_r17_c3	both_nonempty_differ	٤	٣
12	line_cell_r17_c4	agree_nonempty	١	١
12	line_cell_r17_c5	both_nonempty_differ	١,١١٢	١,١٢
12	line_cell_r17_c6	both_nonempty_differ	"	..
12	line_cell_r17_c7	both_nonempty_differ	"	_
12	line_cell_r17_c8	agree_nonempty	✓	✓
12	line_cell_r17_c9	both_nonempty_differ	...	..
12	line_cell_r18_c0	both_nonempty_differ	٠	٣
12	line_cell_r18_c1	agree_nonempty	"	"
12	line_cell_r18_c10	agree_nonempty	-	-
12	line_cell_r18_c11	agree_nonempty	-	-
12	line_cell_r18_c12	old_empty_new_nonempty		✓
12	line_cell_r18_c13	both_nonempty_differ	_	..
12	line_cell_r18_c14	both_nonempty_differ	١٣	١
12	line_cell_r18_c15	both_nonempty_differ	..	.
12	line_cell_r18_c16	both_nonempty_differ	-	..
12	line_cell_r18_c17	old_empty_new_nonempty		✓
12	line_cell_r18_c18	both_nonempty_differ	ان	.
12	line_cell_r18_c2	both_nonempty_differ	٤١٤٣	٤١٣٣
12	line_cell_r18_c3	agree_nonempty	٧	٧
12	line_cell_r18_c4	both_nonempty_differ	١٤٤	١٤
12	line_cell_r18_c5	both_nonempty_differ	٤،٠٤٣	٤،٣
12	line_cell_r18_c6	agree_nonempty	"	"
12	line_cell_r18_c7	agree_nonempty	٣٤	٣٤
12	line_cell_r18_c8	agree_nonempty	✓	✓
12	line_cell_r18_c9	agree_nonempty	٠٠٠	٠٠٠
12	line_cell_r19_c0	both_nonempty_differ	٢	٢٠
