page	line_id	kind	old_592509	new_592709
11	line_cell_r0_c0	both_nonempty_differ	٨	٦
11	line_cell_r0_c1	both_nonempty_differ	"	٢
11	line_cell_r0_c10	both_nonempty_differ	٣	-
11	line_cell_r0_c11	both_nonempty_differ	٥	"
11	line_cell_r0_c12	both_nonempty_differ	–	✓
11	line_cell_r0_c13	both_nonempty_differ	٠	١
11	line_cell_r0_c14	both_nonempty_differ	١٣	-
11	line_cell_r0_c15	both_nonempty_differ	٩٤	٩
11	line_cell_r0_c16	both_nonempty_differ	"	..
11	line_cell_r0_c17	agree_nonempty	٥	٥
11	line_cell_r0_c18	both_nonempty_differ	٠	٤
11	line_cell_r0_c2	both_nonempty_differ	–	✓
11	line_cell_r0_c3	both_nonempty_differ	٥	٣
11	line_cell_r0_c4	both_nonempty_differ	١	✓
11	line_cell_r0_c5	agree_nonempty	١	١
11	line_cell_r0_c6	both_nonempty_differ	٦	١
11	line_cell_r0_c7	both_nonempty_differ	١	٢
11	line_cell_r0_c8	agree_nonempty	١	١
11	line_cell_r0_c9	both_nonempty_differ	٣	١
11	line_cell_r10_c0	agree_nonempty	✓	✓
11	line_cell_r10_c1	agree_nonempty	١	١
11	line_cell_r10_c10	both_nonempty_differ	"	١
11	line_cell_r10_c11	both_nonempty_differ	..	.
11	line_cell_r10_c12	both_nonempty_differ	–	-
11	line_cell_r10_c13	both_nonempty_differ	٤	٠٦
11	line_cell_r10_c14	both_nonempty_differ	–	-
11	line_cell_r10_c15	agree_nonempty	–	–
11	line_cell_r10_c16	both_nonempty_differ	–	٠
11	line_cell_r10_c17	agree_nonempty	–	–
11	line_cell_r10_c18	agree_nonempty	–	–
11	line_cell_r10_c2	both_nonempty_differ	"	..
11	line_cell_r10_c3	both_nonempty_differ	٥	٠
11	line_cell_r10_c4	both_nonempty_differ	✓	١
11	line_cell_r10_c5	both_nonempty_differ	-	..
11	line_cell_r10_c6	both_nonempty_differ	١	"
11	line_cell_r10_c7	both_nonempty_differ	"	.
11	line_cell_r10_c8	agree_nonempty	١	١
11	line_cell_r10_c9	both_nonempty_differ	١	..
11	line_cell_r11_c0	both_nonempty_differ	"	١
11	line_cell_r11_c1	agree_nonempty	"	"
11	line_cell_r11_c10	both_nonempty_differ	-	.
11	line_cell_r11_c11	agree_nonempty	..	..
11	line_cell_r11_c12	both_nonempty_differ	٠	..
11	line_cell_r11_c13	agree_nonempty	_	_
11	line_cell_r11_c14	agree_nonempty	١٣	١٣
11	line_cell_r11_c15	agree_nonempty	٠	٠
11	line_cell_r11_c16	both_nonempty_differ	٣	..
