page,model,thinking,resolution,max_output_tok,rows,zoom_rounds,elapsed_s,input_tok,cached_tok,output_tok,thought_tok,tool_use_tok,total_tok,cost_usd
4,gemini-3.5-flash,low,high,16384,34,4,94.93,3504,748,8603,0,30643,42750,0.081673
5,gemini-3.5-flash,low,high,16384,34,4,47.81,3504,753,8451,0,30373,42328,0.080298
